Category,Title,Creator ,Link,Type,Year,Country,Latitude,Longitude
Painting,La Tonkinoise au panier (Tonkin Woman with a Basket),Victor Tardieu,https://artsandculture.google.com/asset/la-tonkinoise-au-panier-tonkin-woman-with-a-basket/iwFrtyVlZwGp7w,Oil on Canvas,1923,Vietnam,1.2908977,103.851906
Painting,"Pagodas II, Pago-Pago Series",Latiff Mohidin,https://artsandculture.google.com/asset/pagodas-ii-pago-pago-series/eQG21-bm2ZzxGQ,Oil on Canvas,1964,Malaysia,1.2905337,103.85176
Painting,Skyline of New York,Ahmad Sadali,https://artsandculture.google.com/asset/skyline-of-new-york/wAHWQxuEwJSVQw,Oil on Canvas,1957,Indonesia,1.2909567,103.85185
Painting,Abstrak (Abstract),Fadjar Sidik,https://artsandculture.google.com/asset/abstrak-abstract/BgFG43lR0_7vrg,Oil on Canvas,1967,Indonesia,1.290125,103.85151
Painting,Ngarai Sianok,Wakidi,https://artsandculture.google.com/asset/ngarai-sianok/EgFyHXTIVVdS7w,Oil on Canvas,1940,Indonesia,1.290286,103.85152
Painting,Wounded Lion,Raden Saleh,https://artsandculture.google.com/asset/wounded-lion/eAG-tuKWqLcfMw,Oil on Canvas,1839,,1.2902004,103.85168
Painting,War and Peace,Hendra Gunawan,https://artsandculture.google.com/asset/war-and-peace/-AFetnepXAMFeA,Oil on Canvas,1950,,1.2910082,103.85188
Painting,"Two Standing Figures, Pago-Pago Series",Latiff Mohidin,https://artsandculture.google.com/asset/two-standing-figures-pago-pago-series/AQH1uX7lhQosKA,Oil on Canvas,1968,,1.2906983,103.85169
Painting,Two Cubist Nudes,Popo Iskandar,https://artsandculture.google.com/asset/two-cubist-nudes/cQGJi57_7BniEQ,Oil on Canvas,1963,,1.29087,103.85202
Painting,Red Morning Glory and Rotten Gun,Pratuang Emjaroen,https://artsandculture.google.com/asset/red-morning-glory-and-rotten-gun/NgEcgwXoPTlIkw,Oil on Canvas,1976,,1.2903317,103.851524
Painting,Log Factory,Seah Kim Joo,https://artsandculture.google.com/asset/log-factory/FgECtcVBFqzaBQ,Oil on Canvas,1961,,1.290846,103.85204
Painting,Still Life,Qwek Wee Chiew,https://artsandculture.google.com/asset/still-life/-QFI26zG0Ij8xA,Oil on Canvas,1970,,1.2901251,103.85135
Painting,Chua Mia Tee,Epic Poem of Malaya,https://artsandculture.google.com/asset/epic-poem-of-malaya/SAEor07yptznzg,Oil on Canvas,1955,,1.2905751,103.85185
Painting,Espaجخه±a y Filipinas (Spain and the Philippines),Juan Luna,https://artsandculture.google.com/asset/espaa-y-filipinas-spain-and-the-philippines/SwG1IQeJYIZaWA,Oil on Canvas,1884,,1.2908677,103.85183
Painting,Here they come,Koeh Sia Yong,https://artsandculture.google.com/asset/here-they-come/ZgFWieNFqz93ow,Oil on Canvas,1965,,1.2909079,103.8519
Painting,Life by the River,Liu Kang,https://artsandculture.google.com/asset/life-by-the-river/rwEFtL6AaYg7dw,Oil on Canvas,1975,,1.2902527,103.8515
Painting,Lotus in a Breeze,Georgette Chen,https://artsandculture.google.com/asset/lotus-in-a-breeze/ggEPxGqksV30ZQ,Oil on Canvas,1970,,1.2905343,103.851814
Painting,Untitled (Three Figures in a Landscape),Khoo Sui Ho,https://artsandculture.google.com/asset/untitled-three-figures-in-a-landscape/hwFsUwpjQSdsJw,Oil on Canvas,1971,,1.2908397,103.85199
Painting,Karampot (Meagre),Alfredo Manriquec,https://artsandculture.google.com/asset/karampot-meagre/3QGsngWk-HSYag,Oil on Canvas,1978,,1.290733,103.851776
